TargetID	ProbeID	1632405013_R006_C012.Signal CY3	1632405013_R006_C012.Signal CY5	1632405013_R006_C012.Detection Pval	1632405013_R006_C012.Avg_NBEADS	1632405013_R006_C012.BEAD_STDERR	1632405013_R007_C001.Signal CY3	1632405013_R007_C001.Signal CY5	1632405013_R007_C001.Detection Pval	1632405013_R007_C001.Avg_NBEADS	1632405013_R007_C001.BEAD_STDERR	1632405013_R007_C002.Signal CY3	1632405013_R007_C002.Signal CY5	1632405013_R007_C002.Detection Pval	1632405013_R007_C002.Avg_NBEADS	1632405013_R007_C002.BEAD_STDERR	1632405013_R007_C003.Signal CY3	1632405013_R007_C003.Signal CY5	1632405013_R007_C003.Detection Pval	1632405013_R007_C003.Avg_NBEADS	1632405013_R007_C003.BEAD_STDERR	1632405013_R007_C008.Signal CY3	1632405013_R007_C008.Signal CY5	1632405013_R007_C008.Detection Pval	1632405013_R007_C008.Avg_NBEADS	1632405013_R007_C008.BEAD_STDERR	1632405013_R007_C009.Signal CY3	1632405013_R007_C009.Signal CY5	1632405013_R007_C009.Detection Pval	1632405013_R007_C009.Avg_NBEADS	1632405013_R007_C009.BEAD_STDERR	1632405013_R007_C010.Signal CY3	1632405013_R007_C010.Signal CY5	1632405013_R007_C010.Detection Pval	1632405013_R007_C010.Avg_NBEADS	1632405013_R007_C010.BEAD_STDERR	1632405013_R007_C011.Signal CY3	1632405013_R007_C011.Signal CY5	1632405013_R007_C011.Detection Pval	1632405013_R007_C011.Avg_NBEADS	1632405013_R007_C011.BEAD_STDERR	1632405013_R007_C012.Signal CY3	1632405013_R007_C012.Signal CY5	1632405013_R007_C012.Detection Pval	1632405013_R007_C012.Avg_NBEADS	1632405013_R007_C012.BEAD_STDERR	1632405013_R008_C001.Signal CY3	1632405013_R008_C001.Signal CY5	1632405013_R008_C001.Detection Pval	1632405013_R008_C001.Avg_NBEADS	1632405013_R008_C001.BEAD_STDERR
NEGATIVE	590	2645.395	193.3287	0.1292179	33	134.4187	1073.622	175.2894	0.6414485	35	42.62347	1161.09	206.3575	0.6486526	38	33.20107	1023.093	150.8107	0.6380813	34	49.96593	1069.334	232.8342	0.6352454	21	39.23003	1080.38	206.4606	0.6419566	34	28.08049	1025.379	187.0847	0.7070426	22	68.72317	1101.65	212.3644	0.6949022	26	39.72303	854.3924	234.6022	0.7302812	33	68.62892	1058.135	168.4115	0.6634638	27	30.02278
NEGATIVE	592	1223.966	367.5471	0.4932745	28	52.63861	555.4278	155.9993	0.7753164	22	38.41825	525.6227	149.4615	0.821205	28	25.94606	1447.163	158.1765	0.5280511	35	63.24759	441.3775	187.821	0.8053551	28	31.82378	470.7375	151.683	0.819239	19	33.58015	563.5243	199.2967	0.8030681	19	28.29925	598.2477	211.0494	0.7870692	25	34.3966	508.1043	191.6827	0.8203679	31	37.4031	455.7919	128.0906	0.8190764	33	27.23836
NEGATIVE	662	1007.45	326.7286	0.5842713	28	58.93462	951.671	455.7341	0.5972015	42	93.93588	1057.8	507.1498	0.5902299	31	94.01932	519.0253	219.3307	0.7385868	35	34.96587	999.2599	429.7346	0.5982033	21	102.345	899.1741	443.1498	0.6247072	24	110.5658	1177.506	606.9366	0.5608549	34	124.7868	1429.233	748.0091	0.5078942	29	123.7079	1208.346	682.5605	0.4956742	30	149.1308	900.0438	390.6822	0.6454293	27	94.53209
NEGATIVE	737	550.5067	173.5059	0.7756116	34	27.45548	522.0124	432.2752	0.7184966	31	38.08142	586.2267	457.2139	0.7368246	32	36.4585	393.9535	162.3601	0.7758911	27	27.01405	501.7845	408.5687	0.7407617	26	47.76123	516.4323	464.8573	0.7310734	31	41.94962	568.0773	492.1161	0.7418384	26	33.435	550.1846	482.881	0.7483392	29	31.57888	523.7546	456.6037	0.7574948	30	51.26446	563.5417	543.8322	0.6959484	32	37.12234
NEGATIVE	910	758.4846	497.2198	0.6113645	29	48.67961	919.3164	444.1629	0.6096169	30	73.53873	1028.414	494.1393	0.6029912	24	88.21726	667.1339	162.4093	0.7187689	15	44.92216	913.4361	406.0661	0.6302481	30	88.10776	897.0068	397.7452	0.6395137	33	76.1483	1103.977	475.8726	0.6153231	23	70.49678	1159.515	593.9715	0.6026956	19	85.5359	1247.343	604.6396	0.5077668	31	100.1752	1002.362	398.0187	0.613869	35	79.63197
NEGATIVE	912	1841.676	929.6245	0.1423286	27	111.3372	1042.801	380.7864	0.5926021	38	92.23116	1073.686	314.9063	0.642536	25	99.23952	611.5696	217.6156	0.7188481	24	53.53679	943.5233	299.9533	0.6519922	34	98.39929	904.6356	389.2341	0.6397864	22	105.644	1116.218	586.7944	0.5827335	34	112.0436	1181.669	465.1431	0.6258508	32	100.2513	1248.604	545.6046	0.525699	26	113.816	992.2341	404.4752	0.6149393	35	90.98736
NEGATIVE	975	473.7169	184.7164	0.7927473	29	18.99167	672.017	504.4488	0.6610965	32	49.14294	940.8416	342.083	0.6727061	31	43.67072	496.9484	283.3722	0.7295563	20	32.74084	722.6118	380.6609	0.6907665	25	44.40218	792.676	381.9887	0.675929	27	39.62023	841.4919	399.3601	0.7003224	27	56.81527	824.9571	428.7998	0.7067789	36	31.21606	761.3543	424.3172	0.7048406	36	62.55997	789.1605	353.2428	0.6865444	32	43.08219
NEGATIVE	1070	2113.835	313.3273	0.2228079	35	111.4036	3359.536	551.2801	0.05595807	28	262.0012	4123.291	558.4841	0.01407974	16	342.01	1459.279	214.5999	0.5101398	23	133.4436	3928.269	651.0215	0.01528187	32	337.3352	3848.238	624.2604	0.01168021	25	314.7206	4596.54	750.8058	0.011117	32	275.4542	5637.727	1093.958	0.005151289	33	380.5172	4692.165	900.5217	0.001903788	26	549.9792	4268.171	696.6292	0.007595107	25	262.7347
NEGATIVE	1235	1781.119	491.4501	0.2660652	32	149.1274	2143.489	550.6646	0.2427569	21	234.5475	2563.563	778.4277	0.1243662	29	148.574	1327.246	370.5631	0.5038794	28	109.2926	2119.767	560.5956	0.2391111	21	201.5186	2233.616	629.0918	0.1741512	30	110.8975	2462.545	687.5696	0.2171295	25	270.932	3537.303	974.3717	0.09588955	43	228.6669	2499.855	773.1119	0.1384842	32	205.5481	2288.362	628.827	0.1930049	27	147.9863
NEGATIVE	1251	651.5296	441.0131	0.665861	25	50.57823	1050.357	1349.538	0.315016	35	145.4476	947.6486	1195.122	0.4125099	32	101.1727	408.9928	196.4111	0.7661398	19	28.97105	771.8531	971.1595	0.5033244	32	106.0978	875.1414	984.9733	0.4562841	31	95.83137	1023.769	1316.229	0.4101165	27	177.3366	1084.287	1444.135	0.4287507	38	153.5517	897.2319	1038.602	0.481722	29	131.1416	833.2177	1051.875	0.4680836	27	68.15516
NEGATIVE	1306	1472.313	238.0781	0.4510665	33	61.8976	949.4185	504.4823	0.5839522	27	85.09428	1008.195	572.6586	0.5854169	29	55.24888	949.1868	153.3462	0.6554747	33	43.89484	1125.764	523.7865	0.5318313	20	58.58008	1178.106	525.2882	0.5078359	28	53.95182	1092.768	558.2394	0.5965778	31	47.52218	1105.31	607.046	0.6116716	34	52.49661	1099.243	562.2061	0.5666499	22	121.3787	980.4318	528.2078	0.581952	35	42.28875
NEGATIVE	1365	503.2719	168.1735	0.7894102	29	20.26133	558.8153	366.0085	0.7257425	29	35.62272	575.9921	420.241	0.7486629	29	25.99489	353.7134	6063.336	0.00101628	26	278.1455	517.3542	570.2648	0.6949765	17	45.51239	488.6487	606.8378	0.699075	26	56.63182	542.3122	690.7317	0.7021778	29	50.41795	580.1188	659.7955	0.7094766	35	35.02189	528.1855	520.8798	0.7404585	27	87.67664	482.0358	658.93	0.6869328	28	29.45428
NEGATIVE	1611	1810.824	2926.78	0.002364086	31	132.9345	1139.083	1399.982	0.2796991	32	58.01003	1001.808	1749.753	0.2437153	29	72.7862	1011.703	879.9307	0.4532721	31	91.1707	914.3147	1555.722	0.2917876	25	106.9046	1174.661	1347.275	0.2557744	28	94.70789	1055.09	1744.722	0.2938831	22	96.12082	1186.917	1643.645	0.3627706	25	72.84865	955.4612	1002.751	0.4747799	30	141.2138	1059.959	1451.525	0.2885591	22	68.83771
NEGATIVE	1696	1143.432	381.8874	0.5168399	20	131.926	1514.551	619.0073	0.3872946	31	151.6495	1656.326	620.0157	0.3726135	22	99.41058	863.8328	268.5865	0.6482286	20	79.75507	1778.293	863.3555	0.2484007	27	312.9843	1425.25	544.3467	0.420652	25	131.3138	2155.457	1067.675	0.2027276	28	255.4644	2067.709	1017.216	0.310141	24	293.2498	2006.067	1007.054	0.1881338	27	240.1097	1785.19	774.077	0.2762477	46	177.7024
NEGATIVE	1716	353.4897	148.2661	0.8304229	36	12.81074	386.3083	205.3066	0.8007571	26	32.16265	406.0657	191.7911	0.8364588	27	32.6458	331.447	138.3692	0.7924982	25	18.49281	355.2003	188.531	0.822862	28	27.82503	385.8601	202.313	0.8265849	29	30.77583	397.3624	217.9337	0.829867	31	25.23859	417.8906	217.9164	0.8145459	29	32.18201	400.0111	241.9985	0.8319157	25	32.97353	363.8018	155.4197	0.8317599	28	28.48167
NEGATIVE	3008	434.2301	284.4113	0.7770447	28	36.96705	427.3456	365.0302	0.7571333	35	43.73742	527.2729	472.9857	0.7476645	33	35.85714	370.8234	160.185	0.7808262	25	20.79696	443.6305	361.5459	0.766143	30	39.16351	458.3354	477.3092	0.7433677	28	30.62119	520.467	473.8324	0.7562029	20	33.89405	523.1028	482.1849	0.7533409	32	34.3819	523.2131	442.1852	0.7611222	31	53.53417	540.6193	408.0191	0.7368911	25	32.66186
NEGATIVE	3137	663.2626	222.9903	0.7299438	26	37.57645	6131.955	394.5045	0.0002260522	17	253.9951	5191.673	291.4923	0.002415493	34	421.9911	1218.984	1821.283	0.1919467	31	190.1681	5140.564	544.2213	0.001310999	30	262.7558	4741.469	506.4088	0.001819338	28	437.8243	5760.822	448.3097	0.002011254	25	467.7998	6386.205	437.0172	0.004429287	25	442.9338	4185.25	405.1101	0.01729585	34	503.8901	5148.392	307.6466	0.002537101	35	208.2601
NEGATIVE	3511	336.2383	158.449	0.8320122	20	14.32314	505.4597	170.7481	0.7829799	28	21.01013	678.683	196.0312	0.7777938	22	29.14693	3814.896	141.5091	0.07056364	32	122.5297	423.5941	146.696	0.8175315	24	21.14572	441.1018	163.1968	0.82315	24	30.11459	619.8092	193.8966	0.7932617	30	25.69222	633.6702	186.164	0.7853272	29	22.49194	714.1543	233.8018	0.7653138	28	52.72013	471.6226	122.1371	0.8170875	24	34.99356
NEGATIVE	3885	794.2338	164.9549	0.7079968	17	43.50314	1046.237	176.2232	0.6486692	38	63.60561	1227.851	203.9005	0.629939	25	45.62682	3891.412	141.3555	0.06404348	29	217.2586	1463.306	199.124	0.5279095	24	61.6212	1424.234	199.1465	0.5341597	30	60.61828	1344.695	218.6921	0.6196233	23	38.87858	1443.589	243.8623	0.6170779	22	65.02339	1391.075	267.6513	0.567484	32	67.20876	1308.402	193.1503	0.5840605	25	46.3783
NEGATIVE	4254	314.216	123.4657	0.8444769	34	13.79613	307.2556	135.3543	0.8298553	23	20.02815	348.8171	139.4676	0.8566061	31	18.12232	274.9735	137.6231	0.8030728	36	11.31467	305.2563	129.0293	0.8437769	33	20.93466	299.2791	132.9099	0.8575979	28	17.04759	405.0606	149.3402	0.8402131	35	18.77081	350.3691	143.0558	0.8353676	28	23.22998	359.321	161.2184	0.8545983	25	22.8608	317.6978	146.6348	0.8420662	25	27.16505
PCR CONTAMINATION	3802	1817.932	346.8077	0.2985724	26	91.093	2352.781	359.21	0.2386841	21	259.7717	2558.321	377.0098	0.2012194	33	135.5312	1439.209	206.9769	0.5173813	26	93.15475	2009.537	321.1011	0.3294374	28	176.9376	2053.269	340.0551	0.2910903	29	184.9254	2373.108	370.4073	0.3072959	28	187.6073	2627.224	422.9636	0.3171327	30	144.9111	2888.858	645.32	0.09842494	27	216.438	2731.306	386.6581	0.1538806	25	185.6443
PCR CONTAMINATION	3845	683.3762	582.3243	0.6079404	32	35.58289	797.7908	991.0568	0.4865974	22	170.657	866.9373	1196.878	0.436555	25	120.3148	488.6119	477.838	0.6877193	32	39.63081	836.6318	1034.296	0.4643103	29	91.80119	831.2176	1062.754	0.4452137	31	77.92022	930.7698	1130.468	0.4854891	38	139.1503	1052.395	1432.958	0.4383683	20	109.5395	996.1088	1208.903	0.3991838	21	153.348	879.0244	1165.131	0.4202144	26	79.87525
PCR CONTAMINATION	2832	1316.209	566.4312	0.3909999	26	72.66912	2372.801	921.0798	0.1277187	34	203.696	2114.178	663.1535	0.2374786	17	270.3351	817.1543	284.0071	0.6558059	27	82.33121	1750.465	618.1677	0.3189811	24	216.8995	2346.352	858.3289	0.1111683	24	214.7192	2720.801	1195.859	0.0956455	25	178.3486	2955.923	1429.23	0.1086919	30	191.0302	2508.736	1468.217	0.05098259	29	280.363	2406.865	872.2537	0.1265646	35	103.0377
PCR CONTAMINATION	3864	4050.031	348.4955	0.005828748	28	174.7424	8414.961	912.4925	1.339595E-08	31	487.1772	8491.827	1102.113	9.080279E-10	21	832.2592	3588.439	336.0762	0.07343303	27	260.0179	7800.071	986.2259	3.671469E-08	26	485.3565	9003.56	1129.047	1.939201E-12	23	492.8575	9698.123	1566.68	1.169284E-10	22	490.5106	10591.44	1636.631	6.540534E-09	30	357.8153	7285.09	1399.831	5.744092E-08	23	702.4503	8875.963	926.2216	4.83295E-10	31	406.146
PCR CONTAMINATION	1968	710.8616	234.7086	0.7121571	30	61.93451	774.8646	279.8446	0.6931299	31	87.04182	797.2115	257.8653	0.7338634	30	58.63732	477.9547	168.62	0.7577835	33	43.83059	722.9261	266.8253	0.7206991	25	104.2235	703.1129	273.3665	0.7323828	34	79.26814	1233.486	583.0693	0.5521716	37	126.3816	1322.654	586.1819	0.5683393	28	174.5976	1274.698	633.97	0.4901568	33	154.2604	768.5947	254.6046	0.7180137	23	90.1572
PCR CONTAMINATION	1992	349.2052	164.7883	0.8276488	30	20.1777	445.5591	204.8092	0.788505	35	26.09116	502.7368	186.6411	0.8182864	33	27.35505	318.4136	129.1906	0.7966424	22	19.83757	439.2672	179.8251	0.8074785	20	34.97663	438.1216	213.1937	0.8128918	21	43.79114	470.123	194.1116	0.8212482	39	17.23415	484.0838	203.3353	0.8066113	39	18.4118	436.5595	261.2362	0.820774	23	44.02207	485.968	179.0437	0.8023387	33	22.14323
PCR CONTAMINATION	2980	5227.321	3267.036	3.254704E-10	25	398.9489	3519.656	21018.07	3.678E-38	25	1845.114	3679.97	25477.77	3.678E-38	15	1099.487	2511.33	3400.784	0.002941086	37	173.5443	2885.147	17337.58	3.678E-38	31	1295.424	3682.115	20724.73	3.678E-38	29	1474.045	3666.174	24133.5	3.678E-38	26	1627.326	4342.393	25576.1	3.678E-38	22	1022.896	1810.242	10348	5.948866E-16	26	798.0121	3798.538	21794.97	3.678E-38	24	1464.6
PCR CONTAMINATION	3433	1334.207	245.0199	0.4976493	27	61.20134	2228.863	1130.627	0.1179392	30	236.0112	2856.342	1386.097	0.0319059	25	249.6398	1118.818	184.3253	0.6058701	25	67.92133	2258.816	971.7442	0.1291717	37	154.9142	2468.711	1128.622	0.06121571	25	145.1697	2823.72	1449.758	0.0604413	17	232.5391	3044.518	1571.998	0.08615063	31	166.6089	2248.087	1214.76	0.10841	28	252.8594	2518.937	1244.134	0.06530401	27	170.0693
SECOND HYBRIDIZATION	1112	532.5708	8191.286	8.71925E-11	36	177.4392	461.8027	7866.471	6.871588E-07	30	247.7886	536.2159	8543.511	9.89655E-09	26	294.3198	431.1055	7666.243	1.411089E-05	33	210.7922	513.8812	8073.557	8.45744E-08	26	158.9784	506.1906	8526.241	8.039462E-10	25	215.1351	533.4895	8170.205	2.27875E-06	21	342.8131	570.1221	8913.326	1.834479E-05	39	222.3392	639.6237	8259.753	2.270272E-08	30	303.1309	548.1164	8161.001	6.395862E-08	27	224.2126
SECOND HYBRIDIZATION	1632	621.5627	8855.098	8.687988E-13	32	206.06	634.4615	8841.768	7.128611E-09	17	376.8712	747.0893	9612.073	1.94517E-11	27	328.449	680.1078	8705.28	2.427385E-07	32	258.087	636.3391	8286.218	2.045898E-08	25	221.4401	584.4627	9022.134	3.827391E-11	31	269.3505	658.4083	8856.854	1.375629E-07	24	264.0087	793.8896	9596.886	1.722444E-06	28	272.0238	665.3184	9323.728	1.335394E-10	29	411.543	707.4633	9358.8	1.341403E-10	24	214.312
SECOND HYBRIDIZATION	44	9250.747	509.916	1.361021E-13	33	376.795	7993.563	1964.22	8.545434E-10	24	400.0052	8841.595	2181.33	5.239454E-13	32	380.757	8267.913	322.1406	3.234523E-06	28	383.761	8504.896	2033.662	8.874505E-12	29	290.9102	8391.691	1832.918	1.12931E-12	31	367.7631	8507.972	2178.532	1.412569E-09	31	418.3052	8824.628	2249.773	2.448496E-07	27	413.647	7600.329	1637.389	4.967328E-09	42	449.1859	8686.723	2006.657	5.453833E-12	18	449.5629
SECOND HYBRIDIZATION	278	9427.401	228.5025	2.716515E-13	33	258.4742	8610.189	634.1119	1.896306E-08	29	350.0906	9808.65	700.5804	8.790029E-12	30	388.0602	8762.103	221.216	9.288259E-07	34	290.8753	8460.006	674.685	8.060918E-09	25	391.5142	8773.144	614.5601	1.25394E-10	29	329.8694	9954.938	811.9266	1.008361E-09	23	243.0269	10912.91	817.9163	3.280018E-08	35	272.3987	7902.083	627.0452	1.108474E-07	30	376.4525	9655.772	603.2237	5.133821E-11	22	358.8902
SECOND HYBRIDIZATION	501	5275.207	10519.18	3.300976E-37	29	957.9225	4201.333	10351.02	2.962156E-21	31	445.0192	5552.152	11397.4	4.459999E-32	25	889.0174	3498.826	8374.349	1.34026E-11	28	687.9733	4825.637	10705.14	2.723106E-26	26	501.4506	4285.904	9938.45	2.862543E-25	24	772.4687	4925.182	11280.85	1.247128E-22	38	665.8765	6611.891	12789.91	8.715799E-23	23	714.9819	3433.8	9374.742	8.565149E-18	31	568.746	5818.022	11427.01	2.282593E-32	27	744.1901
SECOND HYBRIDIZATION	1003	5329.452	11604.19	3.678E-38	37	755.6884	4566.948	11121.56	7.724856E-25	40	584.1724	5825.865	11968.65	1.536726E-35	32	678.7059	3919.978	9837.692	1.409388E-15	32	693.3385	4339.726	10152.41	9.344885E-23	25	707.2323	5422.938	11589.05	8.011792E-37	24	915.0571	5151.271	11468.1	7.44894E-24	34	925.6983	6302.859	12803.9	4.476464E-22	33	845.1989	2790.613	8724.667	3.072327E-14	15	701.2632	5787.531	11940.7	2.696066E-34	28	742.5159
